account_name,opportunity_name,department_name,num_free_users,num_self_serve_users,num_users_with_dept_match
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Cancer and Cell Biology,9,5,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,"Department of Biomedical, Chemical, and Environmental Engineering",8,2,10
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Chemistry,7,7,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,"Department of Molecular Genetics, Biochemistry, and Microbiology",6,2,8
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Anesthesiology,5,2,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,College of Medicine,5,2,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Winkle College of Pharmacy,5,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Chemistry (1),4,2,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Surgery,4,2,6
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Neuroscience,3,2,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Molecular Genetics,3,1,4
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Pathology and Laboratory Medicine,3,1,4
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Psychiatry & Behavioral Neuroscience,3,1,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Biology,3,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,College of Engineering and Applied Science,3,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Neurology and Rehabilitation Medicine,3,0,3
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Mechanical and Materials Engineering,3,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Environmental and Public Health Sciences,2,2,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Division of Hematology Oncology,2,2,4
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Electrical and Computer Engineering and Computer Science,2,1,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Biomedical Informatics,2,1,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Neurosurgery,2,0,2
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Pediatrics,2,0,2
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Division of Allergy and Immunology,2,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Division of Cardiovascular Diseases,2,0,2
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,,2,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Electrical Engineering and Computer Science,2,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,"Division of Pulmonary, Critical Care & Sleep Medicine",2,0,2
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Chemistry,1,1,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Division of Hematology,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,James L. Winkle College of Pharmacy ,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Developmental Biology,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,neurosurgery,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Internal Medicine Infectious Diseases,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Family Medicine,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,UC College of Pharmacy,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,college of medicine,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Environmental Health,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Cancer,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Neurology and Rehabilitation Medicine,1,0,1
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,orthopedics,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,"Department of Development, Stem Cells, and Regenerative Medicine",1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,N/a,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Psychiatry & Behavioral Neuroscience,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Division of Immunobiology,1,0,1
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,immunobiology,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Psychiatry,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Radiation Oncology,1,0,1
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Anesthesia,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Pharmacy,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Science and Health,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,College of Science and Technology,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Student,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Anesthesiology,1,0,1
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Division of General Internal Medicine,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,"Department of Operations, Business Analytics and Information Systems - OBAIS",1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,UC Libraries,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,HemO,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,university of cincinnati college of medicine ,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Medical School,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,"Division of Immunology, Allergy & Rheumatology",1,0,1
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Biomedical,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Radiation Oncology,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Division of Digestive Diseases,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,ENVIRONMENAL AND CHEMICAL ENGINEERING,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,"Division of Pediatric Gastroenterology, Hepatology and Nutrition",1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Division of Child and Adolescent Psychiatry,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Gastroenterology,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,"Department of Rehabilitation, Exercise, and Nutrition",1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Psychology,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Otolaryngology-Head and Neck Surgery,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Molecular and Cellular Physiology,1,0,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Neurology,0,2,2
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Material Science and Engineering,0,1,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Cancer and Cell Biology,0,1,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Civil and Environmental Engineering,0,1,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Pharmacology and Cell Biophysics,0,1,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Pharmacology,0,1,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Neuroscience Graduate Program,0,1,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,ID,0,1,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Division of Endocrinology,0,1,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,No Department Listed,7,1,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Medical Biotechnology,5,1,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Faculty of Medicine,5,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Molecular Biology and Genetics,4,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Biomedical Engineering,3,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Faculty of Pharmacy,3,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,medical biotechnology,2,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Biomaterials,2,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Department of Pediatric Hematology-Oncology,2,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Acıbadem University,2,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Genome Studies ,1,1,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Physiology,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Medicinal Pharmacology,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Medical Microbiology,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Molecular biology and genetics,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Histology and Embryology,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Genetics,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Acibadem University,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Department of Radiation Oncology,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,biomedical engineering,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Biochemistry and Molecular Biology,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Translational Medicine,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Department of Molecular Biology and Genetics,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Department of Medical Biotechnology,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Molecular Biology and genetics ,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Library,1,0,1
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,NeuroScience,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Biostatistics and Medical Informatics Unit,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,molecular biology and genetics,1,0,1
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Department of Engineering,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,VOCATIONAL SCHOOL,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,genetics,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,nutrition and dietetic,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Neuroscience,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Physiotherapy and Rehabilitation,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Anatomy,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Molecular Biology-Biotechnology and Genetics Research Center,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,medical microbiology,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,Institute Health Sciences,1,0,0
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,PREC,1,0,0
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,Immunology,5,3,8
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,No Department Listed,2,0,0
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,Clinical Trials Unit,1,0,0
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,Ndhlovu Lab,1,0,1
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,Population Science,1,0,0
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,Basic and translational science,1,0,1
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,Basic and transalational science,1,0,0
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,Clinical,1,0,0
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,Basic and Translational Research,0,1,0
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,Basic and Translational science,0,1,0
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,Kloverpris,0,1,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Biotechnology,80,1,81
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Pharmacy,45,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",No Department Listed,17,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Applied Sciences,9,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Microbial Technology,6,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Pharmacy,5,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Forensic Sciences,5,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Department of Applied Sciences,3,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",AIB,3,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Nanotechnology,3,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Biotechnology,3,0,3
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Neuropsychology and Neurosciences ,3,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Virology and Immunology,2,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",neuroscience ,2,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",AINN,2,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Chemistry,2,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Organic Agriculture,2,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Environmental Sciences,2,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Behavioural Health and Allied Science,2,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Pharmaceutical Sciences,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of molecular medicine and stem cell research,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Biochemistry,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",AIFT,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity institute of Health Allied Science  ,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity School of Applied Sciences,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Genome Engineering,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Food and Agriculture Foundation,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",amity institute of pharmacy,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",amity neuroscience,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Mechanical Engineering,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Department of Biotechnology,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Faculty of allied health sciences,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of envoronmental sciences,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",School of Life Sciences,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",AMITY INSTITUTE OF CLICK CHEMESTRY,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Neuroscience and Neuropsychology,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",AIMMSCR,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Health and allied Science ,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity institue of biotechnolgy,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Health Sciences,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",amity institute of biotechnology,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity School of Biological Sciences,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity University Haryana,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Molecular medicine and stem cell research,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Department of Mechanical and Automation Engineering,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Aerospace Engineering,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Department of Computer Science and Engineering,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Department of Plant Pathology,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity center for translational research,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",M.Pharm (Pharmaceutics),1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",amity institute of microbial technology ,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Medical School,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Molecular Medicine and Stem Cell Research,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of click chemistry research and studies,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",ABC,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",amity school of biological sciences,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Neuropsychology and Neuroscience,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",School of Pharmaceutical Sciences,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",pharmaceutical analysis,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)","Amity Institute of Environmental Toxicology, Safety and Management ",1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity College of Commerce and Finance,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Renewable and Alternative Energy,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Molecular Medicine and Stem cell research,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",amity institute of molecular medicine and stem cell research,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",amity institute of click chemistry,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Department of Mechanical Engineering,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Bio,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",pharmacology,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",AMITY INSTITUTE OF PHARMACY,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity Institute of Food Technology,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Amity institute of Click Chemistry Research and studies,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",AMITY INSTITUTE OF BIOTECHNOLOGY,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Forensic Sciences ,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",AIIP,1,0,0
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",AICCRS,1,0,0
